iter	MultiClass
925	0.2965095315
926	0.2964583676
927	0.2963383627
928	0.2962294298
929	0.2960945455
930	0.2960040429
931	0.2958985673
932	0.2957875315
933	0.2957241853
934	0.2956108013
935	0.2954853239
936	0.2954046555
937	0.2952999305
938	0.2951497859
939	0.2950342816
940	0.2949228743
941	0.2947978658
942	0.2946901062
943	0.2946255396
944	0.2944798067
945	0.294408608
946	0.2942404777
947	0.294164823
948	0.2939800223
949	0.2938928896
950	0.2937920154
951	0.2936710132
952	0.2936101455
953	0.2934472551
954	0.2933195422
955	0.293191973
956	0.2930186107
957	0.2928765178
958	0.2928135215
959	0.2927154012
960	0.292530944
961	0.2923282586
962	0.2922504106
963	0.2921796666
964	0.2920974696
965	0.2920287985
966	0.2919309227
967	0.2918424571
968	0.2916887046
969	0.2916022649
970	0.2914940715
971	0.2914004696
972	0.2911571483
973	0.2910087069
974	0.2909231245
975	0.2907028238
976	0.2905907992
977	0.2905452368
978	0.2904714978
979	0.2903844245
980	0.2902610789
981	0.2902038015
982	0.2901007317
983	0.2899666622
984	0.2898779689
985	0.2898342639
986	0.2897929929
987	0.2897379341
988	0.289630371
989	0.2895769608
990	0.2894497633
991	0.2893770231
992	0.2892512683
993	0.2891663769
994	0.2890291485
995	0.2889300701
996	0.2888343665
997	0.2887144035
998	0.2886029165
999	0.2885636715
